   X(ms)	 FEx_Ip(kA)
0.000000E+00	0.000000E+00
1.000000E-01	0.000000E+00
2.000000E-01	0.000000E+00
3.000000E-01	0.000000E+00
4.000000E-01	0.000000E+00
5.000000E-01	4.419092E-01
6.000000E-01	1.402487E+00
7.000000E-01	2.451029E+00
8.000000E-01	3.873050E+00
9.000000E-01	5.569691E+00
1.000000E+00	7.799171E+00
1.100000E+00	9.778750E+00
1.200000E+00	1.163766E+01
1.300000E+00	1.349644E+01
1.400000E+00	1.479464E+01
1.500000E+00	1.600171E+01
1.600000E+00	1.695868E+01
1.700000E+00	1.770749E+01
1.800000E+00	1.833732E+01
1.900000E+00	1.876330E+01
2.000000E+00	1.943650E+01
2.100000E+00	2.030301E+01
2.200000E+00	2.129562E+01
2.300000E+00	2.223717E+01
2.400000E+00	2.379796E+01
2.500000E+00	2.533035E+01
2.600000E+00	2.726328E+01
2.700000E+00	2.919523E+01
2.800000E+00	3.130149E+01
2.900000E+00	3.379367E+01
3.000000E+00	3.613788E+01
3.100000E+00	3.863504E+01
3.200000E+00	4.125922E+01
3.300000E+00	4.387643E+01
3.400000E+00	4.637112E+01
3.500000E+00	4.894322E+01
3.600000E+00	5.103017E+01
3.700000E+00	5.358035E+01
3.800000E+00	5.590298E+01
3.900000E+00	5.807847E+01
4.000000E+00	6.014466E+01
4.100000E+00	6.213453E+01
4.200000E+00	6.390636E+01
4.300000E+00	6.569486E+01
4.400000E+00	6.753870E+01
4.500000E+00	6.887589E+01
4.600000E+00	7.046001E+01
4.700000E+00	7.216620E+01
4.800000E+00	7.369949E+01
4.900000E+00	7.542585E+01
5.000000E+00	7.727344E+01
5.100000E+00	7.885931E+01
5.200000E+00	8.071099E+01
5.300000E+00	8.229912E+01
5.400000E+00	8.435368E+01
5.500000E+00	8.637280E+01
5.600000E+00	8.802647E+01
5.700000E+00	8.988275E+01
5.800000E+00	9.184061E+01
5.900000E+00	9.366280E+01
6.000000E+00	9.544687E+01
6.100000E+00	9.754792E+01
6.200000E+00	9.955050E+01
6.300000E+00	1.013295E+02
6.400000E+00	1.027692E+02
6.500000E+00	1.040672E+02
6.600000E+00	1.056026E+02
6.700000E+00	1.071739E+02
6.800000E+00	1.084563E+02
6.900000E+00	1.096175E+02
7.000000E+00	1.104821E+02
7.100000E+00	1.115148E+02
7.200000E+00	1.123786E+02
7.300000E+00	1.130721E+02
7.400000E+00	1.137347E+02
7.500000E+00	1.143207E+02
7.600000E+00	1.144871E+02
7.700000E+00	1.148246E+02
7.800000E+00	1.152489E+02
7.900000E+00	1.155895E+02
8.000000E+00	1.158234E+02
8.100000E+00	1.160558E+02
8.200000E+00	1.161734E+02
8.300000E+00	1.163426E+02
8.400000E+00	1.164057E+02
8.500000E+00	1.159158E+02
8.600000E+00	1.159000E+02
8.700000E+00	1.157065E+02
8.800000E+00	1.155731E+02
8.900000E+00	1.152399E+02
9.000000E+00	1.148049E+02
9.100000E+00	1.144458E+02
9.200000E+00	1.142399E+02
9.300000E+00	1.137720E+02
9.400000E+00	1.131573E+02
9.500000E+00	1.131258E+02
9.600000E+00	1.128246E+02
9.700000E+00	1.122221E+02
9.800000E+00	1.117774E+02
9.900000E+00	1.113286E+02
1.000000E+01	1.109044E+02
1.010000E+01	1.106955E+02
1.020000E+01	1.102373E+02
1.030000E+01	1.097091E+02
1.040000E+01	1.096804E+02
1.050000E+01	1.090489E+02
1.060000E+01	1.085381E+02
1.070000E+01	1.082521E+02
1.080000E+01	1.079448E+02
1.090000E+01	1.076654E+02
1.100000E+01	1.077901E+02
1.110000E+01	1.074900E+02
1.120000E+01	1.074634E+02
1.130000E+01	1.073503E+02
1.140000E+01	1.074640E+02
1.150000E+01	1.078863E+02
1.160000E+01	1.076411E+02
1.170000E+01	1.076245E+02
1.180000E+01	1.077217E+02
1.190000E+01	1.076356E+02
1.200000E+01	1.076663E+02
1.210000E+01	1.082250E+02
1.220000E+01	1.086551E+02
1.230000E+01	1.087166E+02
1.240000E+01	1.089444E+02
1.250000E+01	1.093984E+02
1.260000E+01	1.093931E+02
1.270000E+01	1.101065E+02
1.280000E+01	1.103350E+02
1.290000E+01	1.111428E+02
1.300000E+01	1.118754E+02
1.310000E+01	1.126219E+02
1.320000E+01	1.136737E+02
1.330000E+01	1.145609E+02
1.340000E+01	1.152228E+02
1.350000E+01	1.160555E+02
1.360000E+01	1.173084E+02
1.370000E+01	1.178867E+02
1.380000E+01	1.185219E+02
1.390000E+01	1.192541E+02
1.400000E+01	1.201367E+02
1.410000E+01	1.210955E+02
1.420000E+01	1.221908E+02
1.430000E+01	1.228541E+02
1.440000E+01	1.239399E+02
1.450000E+01	1.243840E+02
1.460000E+01	1.250685E+02
1.470000E+01	1.259768E+02
1.480000E+01	1.270697E+02
1.490000E+01	1.279588E+02
1.500000E+01	1.288784E+02
1.510000E+01	1.297753E+02
1.520000E+01	1.304568E+02
1.530000E+01	1.310250E+02
1.540000E+01	1.316838E+02
1.550000E+01	1.322263E+02
1.560000E+01	1.323502E+02
1.570000E+01	1.327743E+02
1.580000E+01	1.331881E+02
1.590000E+01	1.337645E+02
1.600000E+01	1.341702E+02
1.610000E+01	1.343934E+02
1.620000E+01	1.349329E+02
1.630000E+01	1.352038E+02
1.640000E+01	1.356266E+02
1.650000E+01	1.359500E+02
1.660000E+01	1.361087E+02
1.670000E+01	1.362101E+02
1.680000E+01	1.364028E+02
1.690000E+01	1.364788E+02
1.700000E+01	1.365785E+02
1.710000E+01	1.368098E+02
1.720000E+01	1.369156E+02
1.730000E+01	1.370996E+02
1.740000E+01	1.372713E+02
1.750000E+01	1.370954E+02
1.760000E+01	1.373852E+02
1.770000E+01	1.375901E+02
1.780000E+01	1.378061E+02
1.790000E+01	1.377793E+02
1.800000E+01	1.377581E+02
1.810000E+01	1.377673E+02
1.820000E+01	1.379005E+02
1.830000E+01	1.378406E+02
1.840000E+01	1.377968E+02
1.850000E+01	1.378461E+02
1.860000E+01	1.378939E+02
1.870000E+01	1.377831E+02
1.880000E+01	1.376005E+02
1.890000E+01	1.374827E+02
1.900000E+01	1.374630E+02
1.910000E+01	1.373836E+02
1.920000E+01	1.372814E+02
1.930000E+01	1.373624E+02
1.940000E+01	1.372489E+02
1.950000E+01	1.371322E+02
1.960000E+01	1.373202E+02
1.970000E+01	1.371801E+02
1.980000E+01	1.372262E+02
1.990000E+01	1.372327E+02
2.000000E+01	1.373612E+02
2.010000E+01	1.373950E+02
2.020000E+01	1.376136E+02
2.030000E+01	1.378951E+02
2.040000E+01	1.378389E+02
2.050000E+01	1.381785E+02
2.060000E+01	1.384815E+02
2.070000E+01	1.387710E+02
2.080000E+01	1.390634E+02
2.090000E+01	1.394420E+02
2.100000E+01	1.397222E+02
2.110000E+01	1.400314E+02
2.120000E+01	1.403304E+02
2.130000E+01	1.408642E+02
2.140000E+01	1.412784E+02
2.150000E+01	1.417778E+02
2.160000E+01	1.423380E+02
2.170000E+01	1.427806E+02
2.180000E+01	1.433137E+02
2.190000E+01	1.438174E+02
2.200000E+01	1.443244E+02
2.210000E+01	1.447131E+02
2.220000E+01	1.449496E+02
2.230000E+01	1.452657E+02
2.240000E+01	1.457275E+02
2.250000E+01	1.462954E+02
2.260000E+01	1.469138E+02
2.270000E+01	1.475592E+02
2.280000E+01	1.478782E+02
2.290000E+01	1.485122E+02
2.300000E+01	1.489561E+02
2.310000E+01	1.495118E+02
2.320000E+01	1.500051E+02
2.330000E+01	1.502888E+02
2.340000E+01	1.505029E+02
2.350000E+01	1.510914E+02
2.360000E+01	1.511318E+02
2.370000E+01	1.513764E+02
2.380000E+01	1.517500E+02
