time	Zeff
0	7.223298695
0.2	10.74539772
0.4	5.539036743
0.6	4.833040218
0.8	4.800393034
1	4.008765983
1.2	5.572635684
1.4	5.525894587
1.6	4.670797089
1.8	8.558495883
2	16.46310858
2.2	32.12818737
2.4	53.72082698
2.6	71.19023067
2.8	135.6179553
3	211.9437453
3.2	173.2807838
3.4	199.1523556
3.6	162.03526
3.8	210.4292649
4	228.6872468
4.2	285.687327
4.4	428.2047506
4.6	356.2042383
4.8	214.9559374
5	254.8769253
5.2	257.0184208
5.4	303.4793782
5.6	551.6330109
5.8	174.205758
6	229.4312209
6.2	178.5281681
6.4	465.9666298
6.6	241.007026
6.8	187.2517091
7	214.7284396
7.2	167.8640113
7.4	188.7802522
7.6	149.4516368
7.8	169.2819158
8	93.56076168
8.2	112.3050778
8.4	94.95535982
8.6	69.83370922
8.8	75.00913542
9	59.72488498
9.2	73.85133022
9.4	85.62329179
9.6	47.66530287
9.8	76.95249755
10	52.6205964
10.2	55.74136057
10.4	44.21290765
10.6	37.80105425
10.8	44.12463854
11	39.90014809
11.2	44.16898408
11.4	39.85283863
11.6	38.7240527
11.8	36.64606699
12	34.87349351
12.2	35.44848903
12.4	37.68559897
12.6	27.27550503
12.8	26.82598995
13	33.48761599
13.2	21.01759167
13.4	19.6145503
13.6	19.8304409
13.8	23.1140044
14	18.47182232
14.2	21.339241
14.4	17.1689774
14.6	23.44080015
14.8	20.23126631
15	17.63056376
15.2	18.90603115
15.4	20.94066784
15.6	16.02435824
15.8	22.7648201
16	22.61186039
16.2	16.92990035
16.4	15.95238726
16.6	21.04535766
16.8	16.91167588
17	22.51065715
17.2	19.71585622
17.4	21.284748
17.6	19.6799668
17.8	20.97699366
18	18.14420566
18.2	20.76356288
18.4	16.70993295
18.6	17.81569343
18.8	15.98701373
19	15.10744445
19.2	15.07093054
19.4	14.76192355
19.6	16.40651415
19.8	17.39862605
20	17.34787025
20.2	14.55964083
20.4	15.49502856
20.6	13.67554061
20.8	14.31098113
21	14.96604174
21.2	16.04979546
21.4	12.49324775
21.6	14.85091108
21.8	11.25898851
22	12.34551968
22.2	10.93634124
22.4	12.00440559
22.6	12.69094553
22.8	12.6049069
23	11.28217228
23.2	13.2945934
23.4	10.89400335
23.6	11.3101314
23.8	9.670280851
24	9.250864583
24.2	11.64943387
24.4	9.830717918
24.6	10.0162247
24.8	9.844920214
25	8.820408656
25.2	11.0756448
25.4	8.303801708
25.6	7.636247347
25.8	8.345737013
26	8.145463612
26.2	6.847912506
26.4	7.197136298
26.6	7.223814532
26.8	7.179033061
27	7.376071774
27.2	7.074066541
27.4	6.37451263
27.6	6.009124521
27.8	6.622542571
28	6.074149722
28.2	5.618342538
28.4	5.564379567
28.6	5.175214148
28.8	6.005343517
29	5.41207083
29.2	5.159615767
29.4	6.139677288
29.6	5.671468908
29.8	5.301589056
30	4.666937862
30.2	4.946354024
30.4	4.701703633
30.6	4.66184552
30.8	4.625196383
31	3.929847273
31.2	4.671231182
31.4	4.517464961
31.6	4.483330501
31.8	4.539508556
32	4.170118796
32.2	4.730120499
32.4	4.430253697
32.6	4.537858166
32.8	3.774596664
33	3.721557763
33.2	4.058593619
33.4	3.925386817
33.6	4.492861886
33.8	4.115462449
34	3.738447333
34.2	4.029505033
34.4	3.872992694
34.6	4.327956592
34.8	3.927810595
35	3.928912698
35.2	3.637832909
35.4	3.559657326
35.6	3.610314246
35.8	3.985760404
36	3.558402745
36.2	3.789352041
36.4	3.396237001
36.6	3.046582692
36.8	3.557450335
37	3.342645551
37.2	3.180641533
37.4	3.462709217
37.6	3.384607438
37.8	3.097847586
38	3.564961392
38.2	3.316406453
38.4	3.361331552
38.6	2.79590402
38.8	2.992494885
39	3.155837561
39.2	3.29666564
39.4	2.995655633
39.6	3.126811804
39.8	3.52833148
40	2.823464894
40.2	2.85895178
40.4	3.144103059
40.6	3.167260548
40.8	2.423402755
41	2.94963911
41.2	2.995866023
41.4	3.115942521
41.6	2.863474795
41.8	3.111414318
42	3.107598105
42.2	3.144094873
42.4	3.092950137
42.6	2.909478797
42.8	2.775503678
43	3.316736646
43.2	3.130116348
43.4	2.721164737
43.6	2.893730142
43.8	3.316250352
44	2.96184247
44.2	2.893648542
44.4	3.117983446
44.6	3.15984818
44.8	2.84485358
45	2.921107763
45.2	2.888567076
45.4	3.137553883
45.6	2.928539521
45.8	2.94495452
46	2.618038454
46.2	2.543157955
46.4	2.80828851
46.6	2.741753468
46.8	2.79931753
47	2.801988741
47.2	3.005788275
47.4	2.980829287
47.6	3.146857909
47.8	2.476292054
48	2.647553956
48.2	2.768895479
48.4	3.066002256
48.6	2.771530152
48.8	2.960811314
49	2.768691638
49.2	2.964407503
49.4	2.778607307
49.6	2.854226419
49.8	2.845531309
50	2.665332996
50.2	2.813561333
50.4	2.614853343
50.6	2.707646951
50.8	2.678272927
51	2.694782853
51.2	2.732198093
51.4	2.962975249
51.6	2.857804853
51.8	2.500794365
52	2.743180423
52.2	2.493230145
52.4	2.564966234
52.6	2.806251145
52.8	3.031541294
53	2.865695447
53.2	2.76614425
53.4	2.972561346
53.6	2.592164965
53.8	2.70457379
54	2.752311823
54.2	2.482253158
54.4	2.551725082
54.6	2.646504158
54.8	2.409992592
55	2.449104882
55.2	2.370142832
55.4	2.253850905
55.6	2.436835228
55.8	2.542299097
56	2.393677044
56.2	2.66104134
56.4	2.500842505
56.6	2.329340531
56.8	2.360707408
57	2.451760587
57.2	2.503942915
57.4	2.481921512
57.6	2.511589102
57.8	2.618330091
58	2.398700934
58.2	2.746721353
58.4	2.48524444
58.6	2.42122897
58.8	2.513689294
59	2.438642224
59.2	2.432289195
59.4	2.567360498
59.6	2.293129228
59.8	2.367415747
60	2.354603014
60.2	2.512059615
60.4	2.432874526
60.6	2.311945649
60.8	2.249233597
61	2.403436306
61.2	2.304941678
61.4	2.511984406
61.6	2.332915255
61.8	2.56876421
62	2.325714493
62.2	2.693409053
62.4	2.58786855
62.6	2.580685073
62.8	2.419950668
63	2.572751557
63.2	2.847074038
63.4	2.422780736
63.6	2.44495039
63.8	2.484387619
64	2.681681479
64.2	2.346380395
64.4	2.476756596
64.6	2.333509486
64.8	2.135033656
65	2.524910304
65.2	2.353298068
65.4	2.28202698
65.6	2.163671357
65.8	2.098827534
66	2.131179719
66.2	2.2702215
66.4	2.194859929
66.6	2.177034787
66.8	2.089361858
67	2.272478048
67.2	2.057891901
67.4	2.239478494
67.6	2.44360423
67.8	2.238489775
68	2.020551215
68.2	2.396719704
68.4	2.235847788
68.6	2.054724096
68.8	2.155585971
69	2.257448812
69.2	2.337054896
69.4	2.399668605
69.6	2.595523554
69.8	2.550205774
70	2.576347648
70.2	2.330626961
70.4	2.210592112
70.6	2.3324877
70.8	2.072019207
71	2.237073314
71.2	2.20293758
71.4	2.230592688
71.6	2.255596857
71.8	2.233425265
72	2.154696386
72.2	2.374531628
72.4	2.315371926
72.6	2.265743539
72.8	2.235021063
73	2.47674129
73.2	2.29828255
73.4	2.243827395
73.6	2.136537442
73.8	2.276789143
74	2.098033926
74.2	2.107904705
74.4	2.224435597
74.6	2.337283108
74.8	2.400294739
75	2.457774183
75.2	2.429656671
75.4	2.226215293
75.6	2.452133823
75.8	2.32252778
76	2.139317675
76.2	2.35256207
76.4	2.291221044
76.6	2.36332205
76.8	2.353403435
77	2.45566821
77.2	2.294592539
77.4	2.508874304
77.6	2.260508436
77.8	2.250562771
78	2.163310181
78.2	2.23201662
78.4	2.194903123
78.6	2.150804009
78.8	2.216185317
79	2.150206729
79.2	2.246182209
79.4	2.10038546
79.6	2.215253624
79.8	2.045973996
80	2.142198927
80.2	1.992406805
80.4	2.154351144
80.6	2.035182375
80.8	2.127991108
81	2.091766191
81.2	2.172246609
81.4	2.226935623
81.6	2.005486966
81.8	1.971811905
82	1.95567003
82.2	1.837658974
82.4	1.856160923
82.6	1.903377118
82.8	1.883210303
83	1.931935632
83.2	1.960290704
83.4	1.79524291
83.6	1.873305746
83.8	1.938218547
84	1.894389941
84.2	1.933443757
84.4	1.943527781
84.6	1.875293565
84.8	1.974133929
85	1.966032397
85.2	1.883011689
85.4	1.720706133
85.6	1.868364769
85.8	1.934656634
86	1.820265815
86.2	1.842328077
86.4	1.791164124
86.6	1.808141219
86.8	1.88040886
87	1.900761764
87.2	1.762031994
87.4	1.629449705
87.6	1.846826298
87.8	2.019081177
88	1.642552937
88.2	1.859141717
88.4	1.739139234
88.6	1.739942832
88.8	1.574250982
89	1.66808052
89.2	1.659343246
89.4	1.782165227
89.6	1.605104781
89.8	1.698116298
90	1.74791178
90.2	1.606540842
90.4	1.596406159
90.6	1.54951737
90.8	1.658484686
91	1.704406142
91.2	1.640859865
91.4	1.529058784
91.6	1.587057086
91.8	1.78146032
92	1.614154535
92.2	1.691457756
92.4	1.657652387
92.6	1.653077505
92.8	1.661048851
93	1.643850064
93.2	1.766230574
93.4	1.632067596
93.6	1.767228479
93.8	1.751559468
94	1.770113345
94.2	1.623758531
94.4	1.744156165
94.6	1.568436005
94.8	1.817497236
95	1.670914933
95.2	1.624260648
95.4	1.698248983
95.6	1.707892564
95.8	1.692441461
96	1.626490472
96.2	1.708220077
96.4	1.687264321
96.6	1.58209175
96.8	1.658836934
97	1.569207405
97.2	1.695203649
97.4	1.73704171
97.6	1.73462998
97.8	1.678397051
98	1.643219207
98.2	1.673147253
98.4	1.788482064
98.6	1.714881816
98.8	1.88809599
99	1.776286475
99.2	1.773109439
99.4	1.833319848
99.6	1.758531717
99.8	1.769109295
100	1.95270918
100.2	1.706868073
100.4	1.934928559
100.6	2.070325828
100.8	2.005182316
101	1.887621759
101.2	1.965960048
101.4	2.152350857
101.6	1.825656467
101.8	2.156687519
102	1.958939526
102.2	1.919576604
102.4	1.917476283
102.6	1.89904068
102.8	2.040794406
103	2.033012349
103.2	2.081912638
103.4	1.985848221
103.6	2.018981181
103.8	1.993415236
104	2.032949435
104.2	1.987781182
104.4	2.107325844
104.6	1.908053173
104.8	1.917986286
105	2.0355751
105.2	1.988555998
105.4	2.164330644
105.6	2.059644667
105.8	2.088900076
106	2.089420595
106.2	2.094295607
106.4	2.24734904
106.6	2.198388172
106.8	2.062885278
107	2.303356307
107.2	2.102494319
107.4	2.072110131
107.6	2.128645792
107.8	2.134843992
108	2.122005257
108.2	2.143018805
108.4	2.190970489
108.6	2.158322135
108.8	2.059514904
109	2.172943028
109.2	2.279067954
109.4	2.304165715
109.6	2.330787928
109.8	2.195174343
110	2.443481013
110.2	2.245754679
110.4	2.010483212
110.6	2.304924333
110.8	2.198779172
111	2.126797342
111.2	2.204427887
111.4	2.127271882
111.6	2.154355784
111.8	2.050631437
112	2.104167658
112.2	2.159648047
112.4	2.04380655
112.6	2.227378393
112.8	2.212383894
113	2.214571084
113.2	2.353506364
113.4	2.287437279
113.6	2.171068329
113.8	2.254615125
114	2.276029113
114.2	2.265874467
114.4	2.406711733
114.6	2.239180928
114.8	2.431274115
115	2.278221015
115.2	2.242509001
115.4	2.325408757
115.6	2.200181162
115.8	2.195478905
116	2.276815155
116.2	2.138268086
116.4	2.084937202
116.6	2.233197007
116.8	2.034299652
117	2.019363027
117.2	2.139763157
117.4	2.113423866
117.6	2.102871015
117.8	2.173689204
118	2.176278436
118.2	2.337153784
118.4	2.264489965
118.6	2.296029353
118.8	2.201036975
119	2.080728363
119.2	2.145643865
119.4	2.165160601
119.6	2.119570945
119.8	2.061486251
120	1.993422048
120.2	1.934423028
120.4	2.159889572
120.6	1.922569217
120.8	2.116295446
121	1.957222621
121.2	1.837767554
121.4	1.951423109
121.6	1.861730972
121.8	2.007052989
122	1.994636558
122.2	1.877981878
122.4	1.952191839
122.6	1.968245758
122.8	1.942115295
123	1.995765934
123.2	1.973479648
123.4	1.93891707
123.6	1.986374586
123.8	1.984661154
124	1.838417424
124.2	1.916378495
124.4	1.850876329
124.6	1.799827011
124.8	1.829882274
125	1.934867064
125.2	1.983418968
125.4	1.797207349
125.6	1.859815236
125.8	1.846375298
126	1.93656437
126.2	1.887323422
126.4	1.833890283
126.6	1.863730194
126.8	1.923536265
127	2.034614802
127.2	1.935636904
127.4	1.8963431
127.6	1.887547005
127.8	1.893013926
128	1.920053738
128.2	1.859444467
128.4	1.915604922
128.6	1.94487501
128.8	2.056948773
129	1.86041588
129.2	1.926982804
129.4	2.022394343
129.6	1.793284196
129.8	1.827031688
130	1.915811841
130.2	1.843158337
130.4	1.874954485
130.6	1.945638847
130.8	1.869300008
131	1.749652344
131.2	1.904500295
131.4	1.904710918
131.6	1.953601665
131.8	1.7333779
132	1.843645742
132.2	1.776208392
132.4	1.817076491
132.6	1.80621935
132.8	1.738690637
133	1.895193432
133.2	1.946059629
133.4	1.904703057
133.6	1.854834299
133.8	1.96054924
134	1.901576065
134.2	1.872043242
134.4	1.908474854
134.6	2.001816232
134.8	1.910948975
135	1.966083919
135.2	1.786864364
135.4	1.848025334
135.6	1.81308381
135.8	1.729572883
136	1.70617843
136.2	1.79234704
136.4	1.86611818
136.6	1.736904059
136.8	1.715449294
137	1.823045849
137.2	1.897950489
137.4	1.851444553
137.6	1.78984765
137.8	1.858217536
138	1.801892021
138.2	1.898277885
138.4	1.849851991
138.6	1.975493518
138.8	1.925484633
139	1.888921709
139.2	2.030574831
139.4	1.853316771
139.6	1.936000872
139.8	1.938616694
140	2.007926039
140.2	1.976021139
140.4	1.896930384
140.6	2.065525882
140.8	1.974783613
141	1.959264864
141.2	2.224157617
141.4	1.99674069
141.6	2.029119552
141.8	1.969902043
142	1.91535391
142.2	2.030813632
142.4	2.081051123
142.6	2.097307105
142.8	2.02791004
143	2.061743166
143.2	2.062393402
143.4	2.096976792
143.6	2.049084447
143.8	1.940641034
144	1.898367199
144.2	2.012813617
144.4	2.032160481
144.6	2.178402394
144.8	2.043931612
145	2.157943205
145.2	2.228293059
145.4	2.1268877
145.6	2.05280013
145.8	2.110013304
146	2.18770613
146.2	2.216114757
146.4	2.237694897
146.6	1.955694169
146.8	2.229713053
147	2.199167081
147.2	2.233432747
147.4	2.056439519
147.6	2.16456463
147.8	2.171487624
148	2.045536685
148.2	2.20817794
148.4	2.223716052
148.6	2.262318385
148.8	2.128990147
149	2.116380053
149.2	2.147291314
149.4	2.23581893
149.6	2.380171
149.8	2.200455032
150	2.412547842
150.2	2.373525094
150.4	2.132705955
150.6	2.210436017
150.8	2.26744461
151	2.347286776
151.2	2.176714268
151.4	2.252757096
151.6	2.156525992
151.8	2.213473507
152	2.260409574
152.2	2.212030195
152.4	1.983225219
152.6	2.139737332
152.8	2.047404038
153	2.08439918
153.2	1.948040409
153.4	2.010843479
153.6	2.088748252
153.8	1.891067613
154	1.717694895
154.2	1.818021108
154.4	1.825973282
154.6	1.850114185
154.8	1.763481132
155	1.776566972
155.2	1.797492359
155.4	1.687165801
155.6	1.79397825
155.8	1.644020871
156	1.730324502
156.2	1.749493606
156.4	1.72814041
156.6	1.694779085
156.8	1.64108362
157	1.626378883
157.2	1.591648521
157.4	1.675470366
157.6	1.700729093
157.8	1.612902148
158	1.615186735
158.2	1.591993331
158.4	1.654402551
158.6	1.706755795
158.8	1.654731994
159	1.584347103
159.2	1.697043947
159.4	1.553492278
159.6	1.619594253
159.8	1.601240964
160	1.586652216
160.2	1.578834043
160.4	1.467365095
160.6	1.652666958
160.8	1.571709109
161	1.649523393
161.2	1.560105499
161.4	1.603808719
161.6	1.52326182
161.8	1.534978094
162	1.565451264
162.2	1.554477917
162.4	1.59601262
162.6	1.660491329
162.8	1.561577666
163	1.556840919
163.2	1.60436023
163.4	1.546834839
163.6	1.629899147
163.8	1.587485675
164	1.54830315
164.2	1.628961973
164.4	1.579576747
164.6	1.666876044
164.8	1.70534027
165	1.664173009
165.2	1.670719749
165.4	1.656318718
165.6	1.781995879
165.8	1.571312276
166	1.77036668
166.2	1.681015384
166.4	1.589412016
166.6	1.645232263
166.8	1.559888928
167	1.61763643
167.2	1.634801448
167.4	1.611547115
167.6	1.672237755
167.8	1.689148962
168	1.57629617
168.2	1.530504757
168.4	1.535688828
168.6	1.513902866
168.8	1.601178764
169	1.61059081
169.2	1.594853305
169.4	1.51713519
169.6	1.576062662
169.8	1.521728058
170	1.685204286
170.2	1.588643073
170.4	1.58169604
170.6	1.519901144
170.8	1.521539453
171	1.57691778
171.2	1.586268281
171.4	1.63229733
171.6	1.487404375
171.8	1.536498129
172	1.516928645
172.2	1.605998149
172.4	1.530947636
172.6	1.583799839
172.8	1.426324131
173	1.412961964
173.2	1.439689419
173.4	1.421117689
173.6	1.407496268
173.8	1.420912032
174	1.415655743
174.2	1.414178248
174.4	1.411393642
174.6	1.38077145
174.8	1.357882484
175	1.401604401
175.2	1.399121587
175.4	1.324337137
175.6	1.501092772
175.8	1.33110092
176	1.442193333
176.2	1.384155425
176.4	1.465234006
176.6	1.381622853
176.8	1.471717304
177	1.436993538
177.2	1.371448346
177.4	1.432235549
177.6	1.461712899
177.8	1.395774001
178	1.325372229
178.2	1.399700668
178.4	1.523204276
178.6	1.366179178
178.8	1.465786046
179	1.490417862
179.2	1.405774984
179.4	1.500407895
179.6	1.391004497
179.8	1.448174429
180	1.412621408
180.2	1.401537445
180.4	1.32000506
180.6	1.341191617
180.8	1.428064816
181	1.42436544
181.2	1.474155815
181.4	1.485694967
181.6	1.418908823
181.8	1.524974767
182	1.54124613
182.2	1.489488717
182.4	1.481985618
182.6	1.514438678
182.8	1.473774735
183	1.615913857
183.2	1.604712239
183.4	1.548517419
183.6	1.497076379
183.8	1.511630305
184	1.639309516
184.2	1.586193669
184.4	1.557087181
184.6	1.653968067
184.8	1.552890459
185	1.534461617
185.2	1.556051235
185.4	1.650214009
185.6	1.608690566
185.8	1.609149534
186	1.616506144
186.2	1.608545982
186.4	1.614653236
186.6	1.649898937
186.8	1.680616936
187	1.642101256
187.2	1.654783081
187.4	1.653262308
187.6	1.657532045
187.8	1.714106352
188	1.66374831
188.2	1.638988931
188.4	1.720672195
188.6	1.709448325
188.8	1.657358592
189	1.715528316
189.2	1.632634432
189.4	1.777642539
189.6	1.671663591
189.8	1.702921846
190	1.784916223
190.2	1.773669232
190.4	1.790155143
190.6	1.73652856
190.8	1.83205846
191	1.640563324
191.2	1.729732231
191.4	1.703241694
191.6	1.722286776
191.8	1.755310891
192	1.737806173
192.2	1.719418134
192.4	1.662953811
192.6	1.648593679
192.8	1.823107998
193	1.587620757
193.2	1.557691264
193.4	1.689111427
193.6	1.559165672
193.8	1.592087618
194	1.685978602
194.2	1.544465131
194.4	1.578905836
194.6	1.623228422
194.8	1.577346775
195	1.591203564
195.2	1.63865658
195.4	1.646606724
195.6	1.581244586
195.8	1.595346679
196	1.629858967
196.2	1.648238651
196.4	1.668153341
196.6	1.576404085
196.8	1.643679528
197	1.550173284
197.2	1.684165181
197.4	1.608305471
197.6	1.703718841
197.8	1.653386612
198	1.66988041
198.2	1.715649117
198.4	1.661942883
198.6	1.670701222
198.8	1.644247516
199	1.667109023
199.2	1.626423389
199.4	1.725536286
199.6	1.699607557
199.8	1.662816762
200	1.667777065
200.2	1.796984395
200.4	1.675641266
200.6	1.661491179
200.8	1.675871412
201	1.686784601
201.2	1.627774492
201.4	1.639885374
201.6	1.655285046
201.8	1.704662716
202	1.656130451
202.2	1.744738307
202.4	1.79376307
202.6	1.677340023
202.8	1.70720331
