Time(ms)            radiation power
   1.9000000e+02   3.6722408e+04
   1.9020000e+02   3.7106617e+04
   1.9040000e+02   3.6816118e+04
   1.9060000e+02   3.6933254e+04
   1.9080000e+02   3.7012908e+04
   1.9100000e+02   3.6600586e+04
   1.9120000e+02   3.7345576e+04
   1.9140000e+02   3.7462713e+04
   1.9160000e+02   3.6628699e+04
   1.9180000e+02   3.7336205e+04
   1.9200000e+02   3.7593906e+04
   1.9220000e+02   3.7865664e+04
   1.9240000e+02   3.7898462e+04
   1.9260000e+02   3.8226445e+04
   1.9280000e+02   3.8390437e+04
   1.9300000e+02   3.8109309e+04
   1.9320000e+02   3.8015599e+04
   1.9340000e+02   3.8704364e+04
   1.9360000e+02   3.8648138e+04
   1.9380000e+02   3.8840243e+04
   1.9400000e+02   3.9285363e+04
   1.9420000e+02   3.9510266e+04
   1.9440000e+02   3.9819507e+04
   1.9460000e+02   4.0367707e+04
   1.9480000e+02   4.0587925e+04
   1.9500000e+02   4.0334909e+04
   1.9520000e+02   4.0419248e+04
   1.9540000e+02   4.0653521e+04
   1.9560000e+02   4.0850311e+04
   1.9580000e+02   4.1192351e+04
   1.9600000e+02   4.1370399e+04
   1.9620000e+02   4.1164238e+04
   1.9640000e+02   4.1009617e+04
   1.9660000e+02   4.1234520e+04
   1.9680000e+02   4.1145496e+04
   1.9700000e+02   4.1909229e+04
   1.9720000e+02   4.2251268e+04
   1.9740000e+02   4.0939335e+04
   1.9760000e+02   4.1407883e+04
   1.9780000e+02   4.1346972e+04
   1.9800000e+02   4.1717124e+04
   1.9820000e+02   4.2190357e+04
   1.9840000e+02   4.2199728e+04
   1.9860000e+02   4.2452744e+04
   1.9880000e+02   4.1853003e+04
   1.9900000e+02   4.2396518e+04
   1.9920000e+02   4.2588622e+04
   1.9940000e+02   4.3118081e+04
   1.9960000e+02   4.3174307e+04
   1.9980000e+02   4.3474177e+04
   2.0000000e+02   4.2991573e+04
   2.0020000e+02   4.2846324e+04
   2.0040000e+02   4.2494913e+04
   2.0060000e+02   4.2649534e+04
   2.0080000e+02   4.3670967e+04
   2.0100000e+02   4.3319557e+04
   2.0120000e+02   4.3057170e+04
   2.0140000e+02   4.2701074e+04
   2.0160000e+02   4.1895172e+04
   2.0180000e+02   4.1754608e+04
   2.0200000e+02   4.1810834e+04
   2.0220000e+02   4.2106019e+04
   2.0240000e+02   4.2607364e+04
   2.0260000e+02   4.2373091e+04
   2.0280000e+02   4.3155565e+04
   2.0300000e+02   4.3043114e+04
   2.0320000e+02   4.3352355e+04
   2.0340000e+02   4.3558516e+04
   2.0360000e+02   4.3806846e+04
   2.0380000e+02   4.3980208e+04
   2.0400000e+02   4.3717822e+04
   2.0420000e+02   4.3057170e+04
   2.0440000e+02   4.2818211e+04
   2.0460000e+02   4.3446064e+04
   2.0480000e+02   4.3422637e+04
   2.0500000e+02   4.3071226e+04
   2.0520000e+02   4.3211791e+04
   2.0540000e+02   4.2359034e+04
   2.0560000e+02   4.2368405e+04
   2.0580000e+02   4.2199728e+04
   2.0600000e+02   4.2448058e+04
   2.0620000e+02   4.2223155e+04
   2.0640000e+02   4.2040422e+04
   2.0660000e+02   4.1810834e+04
   2.0680000e+02   4.1745237e+04
   2.0700000e+02   4.2040422e+04
   2.0720000e+02   4.2382462e+04
   2.0740000e+02   4.1979511e+04
   2.0760000e+02   4.1632786e+04
   2.0780000e+02   4.1192351e+04
   2.0800000e+02   4.0292740e+04
   2.0820000e+02   4.0358336e+04
   2.0840000e+02   3.9997555e+04
   2.0860000e+02   4.0133434e+04
   2.0880000e+02   4.0302111e+04
   2.0900000e+02   3.9997555e+04
   2.0920000e+02   3.9814821e+04
   2.0940000e+02   4.0133434e+04
   2.0960000e+02   3.9852305e+04
   2.0980000e+02   4.0227143e+04
   2.1000000e+02   4.0709747e+04
   2.1020000e+02   4.0644150e+04
   2.1040000e+02   4.0812828e+04
   2.1060000e+02   4.0208401e+04
   2.1080000e+02   4.0114692e+04
   2.1100000e+02   4.0400506e+04
   2.1120000e+02   4.0733174e+04
   2.1140000e+02   4.0883110e+04
   2.1160000e+02   4.1403197e+04
   2.1180000e+02   4.0897166e+04
   2.1200000e+02   4.1361028e+04
   2.1220000e+02   4.0597296e+04
   2.1240000e+02   4.1145496e+04
   2.1260000e+02   4.1065843e+04
   2.1280000e+02   4.1084585e+04
   2.1300000e+02   4.0911223e+04
   2.1320000e+02   4.0925279e+04
   2.1340000e+02   4.1028359e+04
   2.1360000e+02   4.0503586e+04
   2.1380000e+02   4.0601981e+04
   2.1400000e+02   4.0836255e+04
   2.1420000e+02   4.0592610e+04
   2.1440000e+02   4.0245885e+04
   2.1460000e+02   4.0508272e+04
   2.1480000e+02   4.0414562e+04
   2.1500000e+02   3.9688314e+04
   2.1520000e+02   4.0377078e+04
   2.1540000e+02   3.9819507e+04
   2.1560000e+02   3.9716426e+04
   2.1580000e+02   3.9496209e+04
   2.1600000e+02   4.0658207e+04
   2.1620000e+02   4.0400506e+04
   2.1640000e+02   4.0686320e+04
   2.1660000e+02   4.0597296e+04
   2.1680000e+02   4.0016297e+04
   2.1700000e+02   4.0447361e+04
   2.1720000e+02   4.0498901e+04
   2.1740000e+02   4.0873739e+04
   2.1760000e+02   4.0728489e+04
   2.1780000e+02   4.1272004e+04
   2.1800000e+02   4.1304802e+04
   2.1820000e+02   4.1309488e+04
   2.1840000e+02   4.1389141e+04
   2.1860000e+02   4.1370399e+04
   2.1880000e+02   4.1740552e+04
   2.1900000e+02   4.2246583e+04
   2.1920000e+02   4.1857688e+04
   2.1940000e+02   4.1674955e+04
   2.1960000e+02   4.1182980e+04
   2.1980000e+02   4.1417254e+04
   2.2000000e+02   4.1665584e+04
   2.2020000e+02   4.1646842e+04
   2.2040000e+02   4.1604673e+04
   2.2060000e+02   4.1562503e+04
   2.2080000e+02   4.2162244e+04
   2.2100000e+02   4.2101333e+04
   2.2120000e+02   4.2312179e+04
   2.2140000e+02   4.2082591e+04
   2.2160000e+02   4.2958775e+04
   2.2180000e+02   4.2869751e+04
