X(ms)	FEx_Ip(kA)   
2.547604E+000	3.855855E+000
5.872843E+000	1.196776E+001
9.198083E+000	2.268777E+001
1.252332E+001	3.055909E+001
1.584856E+001	3.963403E+001
1.917380E+001	5.080867E+001
2.249904E+001	5.877974E+001
2.582428E+001	6.723670E+001
2.914952E+001	7.873615E+001
3.247476E+001	8.397238E+001
3.580000E+001	8.799410E+001
3.912524E+001	8.911228E+001
4.245048E+001	9.256547E+001
4.577572E+001	9.591386E+001
4.910096E+001	9.973959E+001
5.242620E+001	1.030649E+002
5.575144E+001	1.060954E+002
5.907668E+001	1.125864E+002
6.240192E+001	1.148478E+002
6.572716E+001	1.134055E+002
6.905240E+001	1.189769E+002
7.237764E+001	1.216356E+002
7.570288E+001	1.229475E+002
7.902812E+001	1.257554E+002
8.235335E+001	1.280777E+002
8.567859E+001	1.271730E+002
8.900383E+001	1.288518E+002
9.232907E+001	1.291134E+002
9.565431E+001	1.284834E+002
9.897955E+001	1.283414E+002
1.023048E+002	1.263027E+002
1.056300E+002	1.270416E+002
1.089553E+002	1.290083E+002
1.122805E+002	1.326257E+002
1.156058E+002	1.333978E+002
1.189310E+002	1.346099E+002
1.222562E+002	1.378286E+002
1.255815E+002	1.413351E+002
1.289067E+002	1.438272E+002
1.322319E+002	1.446964E+002
1.355572E+002	1.435389E+002
1.388824E+002	1.432193E+002
1.422077E+002	1.469626E+002
1.455329E+002	1.484189E+002
1.488581E+002	1.494793E+002
1.521834E+002	1.518413E+002
1.555086E+002	1.522822E+002
1.588339E+002	1.536277E+002
1.621591E+002	1.531461E+002
1.654843E+002	1.521606E+002
1.688096E+002	1.504523E+002
1.721348E+002	1.474019E+002
1.754601E+002	1.455829E+002
1.787853E+002	1.444465E+002
1.821105E+002	1.452251E+002
1.854358E+002	1.443116E+002
1.887610E+002	1.447294E+002
1.920863E+002	1.466632E+002
1.954115E+002	1.464214E+002
1.987367E+002	1.470416E+002
2.020620E+002	1.481078E+002
2.053872E+002	1.488680E+002
2.087125E+002	1.482890E+002
2.120377E+002	1.498723E+002
2.153629E+002	1.501418E+002
2.186882E+002	1.489946E+002
2.220134E+002	1.484609E+002
2.253387E+002	1.491307E+002
2.286639E+002	1.492931E+002
2.319891E+002	1.485211E+002
2.353144E+002	1.487712E+002
2.386396E+002	1.471404E+002
2.419649E+002	1.483720E+002
2.452901E+002	1.487442E+002
2.486153E+002	1.479546E+002
2.519406E+002	1.481982E+002
2.552658E+002	1.474132E+002
2.585911E+002	1.489351E+002
2.619163E+002	1.478657E+002
2.652415E+002	1.488369E+002
2.685668E+002	1.479516E+002
2.718920E+002	1.476533E+002
2.752173E+002	1.481804E+002
2.785425E+002	1.488994E+002
2.818677E+002	1.484667E+002
2.851930E+002	1.493715E+002
2.885182E+002	1.483026E+002
2.918435E+002	1.477566E+002
2.951687E+002	1.490558E+002
2.984939E+002	1.497504E+002
3.018192E+002	1.485887E+002
3.051444E+002	1.484327E+002
3.084696E+002	1.477554E+002
3.117949E+002	1.482648E+002
3.151201E+002	1.475679E+002
3.184454E+002	1.490185E+002
3.217706E+002	1.475129E+002
3.250958E+002	1.485669E+002
3.284211E+002	1.479166E+002
3.317463E+002	1.483049E+002
3.350716E+002	1.472943E+002
3.383968E+002	1.483737E+002
3.417220E+002	1.475751E+002
3.450473E+002	1.477654E+002
