X(ms)	Vl_filter(V)
6.167195E-001	8.942121E+000
3.492055E+000	1.078428E+001
6.367390E+000	1.113559E+001
9.242726E+000	1.194392E+001
1.211806E+001	1.230814E+001
1.499340E+001	1.268501E+001
1.786873E+001	1.199719E+001
2.074407E+001	1.230027E+001
2.361940E+001	1.169750E+001
2.649474E+001	1.222102E+001
2.937007E+001	1.058043E+001
3.224541E+001	8.158250E+000
3.512074E+001	5.650914E+000
3.799608E+001	4.943923E+000
4.087142E+001	5.519756E+000
4.374675E+001	4.868860E+000
4.662209E+001	3.916956E+000
4.949742E+001	4.407335E+000
5.237276E+001	4.932774E+000
5.524809E+001	5.868989E+000
5.812343E+001	6.392310E+000
6.099876E+001	2.539091E+000
6.387410E+001	3.602883E+000
6.674943E+001	5.791858E+000
6.962477E+001	4.288133E+000
7.250010E+001	3.645963E+000
7.537544E+001	3.996206E+000
7.825078E+001	3.709222E+000
8.112611E+001	2.772956E+000
8.400145E+001	2.499845E+000
8.687678E+001	2.995622E+000
8.975212E+001	2.433156E+000
9.262745E+001	1.727224E+000
9.550279E+001	2.106321E+000
9.837812E+001	2.506907E+000
1.012535E+002	1.945854E+000
1.041288E+002	3.213949E+000
1.070041E+002	4.212616E+000
1.098795E+002	3.201741E+000
1.127548E+002	2.695926E+000
1.156301E+002	3.521262E+000
1.185055E+002	4.512211E+000
1.213808E+002	3.938546E+000
1.242561E+002	4.203687E+000
1.271315E+002	3.213142E+000
1.300068E+002	2.644219E+000
1.328821E+002	3.501387E+000
1.357575E+002	2.927420E+000
1.386328E+002	4.644328E+000
1.415082E+002	3.383143E+000
1.443835E+002	3.113361E+000
1.472588E+002	2.691840E+000
1.501342E+002	3.314134E+000
1.530095E+002	2.457319E+000
1.558848E+002	1.550110E+000
1.587602E+002	1.095244E+000
1.616355E+002	4.974164E-001
1.645108E+002	-2.015292E-002
1.673862E+002	2.419612E-001
1.702615E+002	-1.352692E-001
1.731368E+002	5.642313E-002
1.760122E+002	6.796755E-001
1.788875E+002	1.337180E+000
1.817628E+002	5.951796E-001
1.846382E+002	1.106897E+000
1.875135E+002	8.094714E-001
1.903889E+002	2.109347E+000
1.932642E+002	9.827008E-001
1.961395E+002	1.738927E+000
1.990149E+002	2.312138E+000
2.018902E+002	1.681218E+000
2.047655E+002	2.118125E+000
2.076409E+002	1.454264E+000
2.105162E+002	2.474774E+000
2.133915E+002	1.532858E+000
2.162669E+002	1.215960E+000
2.191422E+002	1.881385E+000
2.220175E+002	1.162992E+000
2.248929E+002	1.827560E+000
2.277682E+002	1.032289E+000
2.306436E+002	1.833210E+000
2.335189E+002	6.373014E-001
2.363942E+002	1.298539E+000
2.392696E+002	1.013220E+000
2.421449E+002	1.817622E+000
2.450202E+002	3.424987E-001
2.478956E+002	1.240628E+000
2.507709E+002	8.713174E-001
2.536462E+002	1.675063E+000
2.565216E+002	1.230287E+000
2.593969E+002	1.635010E+000
2.622722E+002	1.380412E+000
2.651476E+002	1.117239E+000
2.680229E+002	1.486398E+000
2.708982E+002	9.090505E-001
2.737736E+002	2.097745E+000
2.766489E+002	1.089090E+000
2.795243E+002	1.664873E+000
2.823996E+002	1.273770E+000
2.852749E+002	1.622751E+000
2.881503E+002	6.690820E-001
2.910256E+002	1.955086E+000
2.939009E+002	1.123847E+000
2.967763E+002	1.556113E+000
2.996516E+002	6.714529E-001
3.025269E+002	1.644140E+000
3.054023E+002	8.455903E-001
3.082776E+002	1.289812E+000
3.111529E+002	8.275813E-001
3.140283E+002	1.480243E+000
3.169036E+002	6.283221E-001
3.197789E+002	9.995495E-001
3.226543E+002	1.571600E+000
3.255296E+002	1.048330E+000
3.284050E+002	1.533362E+000
3.312803E+002	8.895282E-001
3.341556E+002	1.697057E+000
3.370310E+002	1.069467E+000
3.399063E+002	1.333851E+000
3.427816E+002	1.861812E+000
3.456570E+002	1.156081E+000
3.485323E+002	1.411688E+000
3.514076E+002	1.803195E+000
3.542830E+002	1.376326E+000
3.571583E+002	1.729696E+000
3.600336E+002	1.030321E+000
3.629090E+002	1.903984E+000
3.657843E+002	1.295563E+000
3.686597E+002	1.884966E+000
3.715350E+002	1.323762E+000
3.744103E+002	2.232585E+000
3.772857E+002	1.087072E+000
3.801610E+002	1.808945E+000
3.830363E+002	6.952127E-001
3.859117E+002	1.979198E+000
3.887870E+002	6.069838E-001
3.916623E+002	1.283305E+000
3.945377E+002	1.714562E+000
3.974130E+002	1.203097E+000
4.002883E+002	7.009130E-001
4.031637E+002	1.705885E+000
4.060390E+002	2.162416E+000
4.089143E+002	1.436305E+000
4.117897E+002	1.942222E+000
4.146650E+002	1.285121E+000
4.175404E+002	1.956246E+000
4.204157E+002	9.725612E-001
4.232910E+002	1.409569E+000
4.261664E+002	1.766369E+000
4.290417E+002	8.445309E-001
4.319170E+002	1.179740E+000
4.347924E+002	8.376704E-001
4.376677E+002	1.270744E+000
4.405430E+002	8.387802E-001
4.434184E+002	5.664761E-001
4.462937E+002	1.239518E+000
4.491690E+002	7.185184E-001
4.520444E+002	1.145639E+000
4.549197E+002	7.575632E-001
4.577950E+002	1.429041E+000
4.606704E+002	9.175254E-001
4.635457E+002	1.141049E+000
4.664211E+002	1.411133E+000
4.692964E+002	8.026613E-001
4.721717E+002	1.297026E+000
4.750471E+002	7.894446E-001
4.779224E+002	1.300305E+000
4.807977E+002	7.402604E-001
4.836731E+002	1.688658E-001
4.865484E+002	1.182918E+000
4.894237E+002	1.390198E+000
4.922991E+002	6.691829E-001
4.951744E+002	1.054737E+000
4.980497E+002	1.380261E+000
5.009251E+002	4.049501E-001
5.038004E+002	9.541487E-001
5.066758E+002	1.107200E+000
5.095511E+002	7.970619E-001
5.124264E+002	1.153307E+000
5.153018E+002	1.471920E+000
5.181771E+002	1.634606E+000
5.210524E+002	1.096203E+000
5.239278E+002	1.396353E+000
5.268031E+002	9.261515E-001
5.296784E+002	1.304845E+000
5.325538E+002	9.685761E-001
5.354291E+002	1.309032E+000
5.383044E+002	1.488718E+000
5.411798E+002	8.664747E-001
5.440551E+002	1.164355E+000
5.469304E+002	7.750677E-001
5.498058E+002	1.726316E+000
5.526811E+002	8.973472E-001
5.555565E+002	1.387323E+000
5.584318E+002	1.754464E+000
5.613071E+002	9.975821E-001
5.641825E+002	1.331379E+000
5.670578E+002	7.726463E-001
5.699331E+002	1.860954E+000
5.728085E+002	3.383118E-001
5.756838E+002	7.285066E-001
5.785591E+002	1.757390E+000
5.814345E+002	6.822734E-002
5.843098E+002	5.476600E-001
5.871851E+002	4.064130E-001
5.900605E+002	1.051508E+000
5.929358E+002	3.814602E+000
5.958111E+002	3.633453E+000
5.986865E+002	2.823200E+000
6.015618E+002	2.654611E+000
6.044372E+002	2.399055E+000
6.073125E+002	2.074288E+000
6.101878E+002	1.899797E+000
6.130632E+002	1.550715E+000
6.159385E+002	1.097414E+000
6.188138E+002	1.413958E+000
6.216892E+002	1.148868E+000
6.245645E+002	8.964392E-001
6.274398E+002	1.026941E+000
6.303152E+002	1.180295E+000
6.331905E+002	8.192074E-001
6.360658E+002	9.268578E-001
6.389412E+002	1.049692E+000
6.418165E+002	8.299018E-001
6.446918E+002	1.094790E+000
6.475672E+002	7.325927E-001
6.504425E+002	1.071081E+000
6.533179E+002	5.979540E-001
6.561932E+002	3.898669E-001
6.590685E+002	6.439602E-001
6.619439E+002	4.443984E-001
6.648192E+002	6.832572E-001
6.676945E+002	5.216302E-001
6.705699E+002	8.140619E-001
6.734452E+002	5.862507E-001
6.763205E+002	7.911093E-001
6.791959E+002	4.773896E-001
6.820712E+002	8.154744E-001
6.849465E+002	9.778076E-001
6.878219E+002	5.643574E-001
6.906972E+002	9.488519E-001
6.935726E+002	1.234171E+000
6.964479E+002	1.055493E+000
6.993232E+002	1.548647E+000
7.021986E+002	1.715874E+000
7.050739E+002	2.004371E+000
7.079492E+002	1.749924E+000
7.108246E+002	2.359657E+000
7.136999E+002	1.957355E+000
7.165752E+002	2.306891E+000
7.194506E+002	2.071715E+000
7.223259E+002	2.353755E+000
7.252012E+002	1.894299E+000
7.280766E+002	1.795577E+000
7.309519E+002	2.137950E+000
7.338272E+002	1.719052E+000
7.367026E+002	1.996804E+000
7.395779E+002	1.567867E+000
7.424533E+002	1.234877E+000
7.453286E+002	1.374611E+000
7.482039E+002	1.157696E+000
7.510793E+002	1.248346E+000
7.539546E+002	8.810030E-001
7.568299E+002	1.113758E+000
7.597053E+002	7.398568E-001
7.625806E+002	9.768996E-001
7.654559E+002	6.547555E-001
7.683313E+002	4.663925E-001
7.712066E+002	8.614806E-001
7.740819E+002	6.588416E-001
7.769573E+002	9.898136E-001
7.798326E+002	6.041084E-001
7.827079E+002	1.003686E+000
7.855833E+002	1.217373E+000
7.884586E+002	8.783293E-001
7.913340E+002	1.208040E+000
7.942093E+002	9.720064E-001
7.970846E+002	1.371988E+000
7.999600E+002	1.248901E+000
8.028353E+002	1.892685E+000
8.057106E+002	1.457694E+000
8.085860E+002	1.879720E+000
8.114613E+002	1.683387E+000
8.143366E+002	2.126902E+000
8.172120E+002	1.664419E+000
8.200873E+002	2.200654E+000
8.229626E+002	1.685152E+000
8.258380E+002	1.953370E+000
8.287133E+002	1.747654E+000
8.315887E+002	1.904741E+000
8.344640E+002	2.078021E+000
8.373393E+002	1.833815E+000
8.402147E+002	1.676728E+000
8.430900E+002	2.309111E+000
8.459653E+002	2.071665E+000
8.488407E+002	2.399711E+000
8.517160E+002	1.930165E+000
8.545913E+002	2.456714E+000
8.574667E+002	2.200099E+000
8.603420E+002	2.401880E+000
8.632173E+002	2.130686E+000
8.660927E+002	2.292969E+000
8.689680E+002	2.460094E+000
8.718433E+002	2.114190E+000
8.747187E+002	2.661724E+000
8.775940E+002	2.333678E+000
8.804694E+002	2.584038E+000
8.833447E+002	2.254327E+000
8.862200E+002	2.412877E+000
8.890954E+002	2.144054E+000
8.919707E+002	2.401376E+000
8.948460E+002	2.196063E+000
8.977214E+002	2.370251E+000
9.005967E+002	2.161458E+000
9.034720E+002	1.946409E+000
9.063474E+002	2.242624E+000
