ISHOT = 31885


time = 0.100

I, R(m), Z(m)

   1  1.267  0.089
   2  1.266  0.086
   3  1.263  0.057
   4  1.263  0.027
   5  1.265 -0.002
   6  1.267 -0.016
   7  1.268 -0.031
   8  1.274 -0.060
   9  1.282 -0.090
  10  1.284 -0.093
  11  1.293 -0.119
  12  1.301 -0.139
  13  1.305 -0.148
  14  1.318 -0.174
  15  1.320 -0.177
  16  1.336 -0.202
  17  1.339 -0.206
  18  1.353 -0.225
  19  1.362 -0.236
  20  1.370 -0.245
  21  1.387 -0.263
  22  1.389 -0.265
  23  1.405 -0.279
  24  1.422 -0.294
  25  1.422 -0.295
  26  1.439 -0.309
  27  1.456 -0.323
  28  1.457 -0.324
  29  1.474 -0.338
  30  1.491 -0.352
  31  1.492 -0.353
  32  1.508 -0.367
  33  1.526 -0.380
  34  1.529 -0.382
  35  1.543 -0.392
  36  1.560 -0.398
  37  1.578 -0.399
  38  1.595 -0.395
  39  1.612 -0.389
  40  1.629 -0.383
  41  1.631 -0.382
  42  1.647 -0.376
  43  1.664 -0.370
  44  1.681 -0.363
  45  1.698 -0.356
  46  1.708 -0.353
  47  1.716 -0.350
  48  1.733 -0.343
  49  1.750 -0.336
  50  1.768 -0.328
  51  1.778 -0.323
  52  1.785 -0.320
  53  1.802 -0.310
  54  1.819 -0.300
  55  1.827 -0.294
  56  1.837 -0.287
  57  1.854 -0.273
  58  1.863 -0.265
  59  1.871 -0.257
  60  1.888 -0.238
  61  1.890 -0.236
  62  1.906 -0.215
  63  1.912 -0.206
  64  1.923 -0.188
  65  1.929 -0.177
  66  1.940 -0.154
  67  1.943 -0.148
  68  1.955 -0.119
  69  1.958 -0.109
  70  1.964 -0.090
  71  1.970 -0.060
  72  1.974 -0.031
  73  1.975 -0.025
  74  1.977 -0.002
  75  1.977  0.027
  76  1.975  0.054
  77  1.975  0.057
  78  1.971  0.086
  79  1.964  0.115
  80  1.958  0.137
  81  1.955  0.144
  82  1.944  0.174
  83  1.940  0.182
  84  1.930  0.203
  85  1.923  0.215
  86  1.913  0.232
  87  1.906  0.243
  88  1.892  0.261
  89  1.888  0.266
  90  1.871  0.286
  91  1.867  0.290
  92  1.854  0.304
  93  1.837  0.319
  94  1.836  0.320
  95  1.819  0.333
  96  1.802  0.345
  97  1.796  0.349
  98  1.785  0.356
  99  1.768  0.365
 100  1.750  0.373
 101  1.738  0.378
 102  1.733  0.380
 103  1.716  0.386
 104  1.698  0.391
 105  1.681  0.395
 106  1.664  0.398
 107  1.647  0.400
 108  1.629  0.401
 109  1.612  0.401
 110  1.595  0.401
 111  1.578  0.399
 112  1.560  0.397
 113  1.543  0.393
 114  1.526  0.389
 115  1.508  0.384
 116  1.493  0.378
 117  1.491  0.377
 118  1.474  0.370
 119  1.457  0.362
 120  1.439  0.352
 121  1.434  0.349
 122  1.422  0.341
 123  1.405  0.329
 124  1.393  0.320
 125  1.387  0.315
 126  1.370  0.299
 127  1.362  0.290
 128  1.353  0.281
 129  1.337  0.261
 130  1.336  0.260
 131  1.318  0.234
 132  1.317  0.232
 133  1.301  0.203
 134  1.301  0.203
 135  1.288  0.174
 136  1.284  0.161
 137  1.278  0.144
